status,youtube_id,label,split,reason
failed,ZZeBfr6mzNM,playing piano,train,ERROR: [youtube] ZZeBfr6mzNM: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,u-kyC4DoraI,people crowd,train,ERROR: [youtube] u-kyC4DoraI: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,DHgK7_AUskA,typing on computer keyboard,train,ERROR: [youtube] DHgK7_AUskA: Video unavailable
failed,gbX-3uq95X0,car engine knocking,test,ERROR: [youtube] gbX-3uq95X0: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,9LDdYvmbnD8,helicopter,train,ERROR: [youtube] 9LDdYvmbnD8: Video unavailable
failed,5C20H0u64Co,car engine knocking,train,ERROR: [youtube] 5C20H0u64Co: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,ZFLEgkYWd9o,thunder,train,ERROR: [youtube] ZFLEgkYWd9o: Video unavailable
failed,7S0vg91l2ss,train horning,train,ERROR: [youtube] 7S0vg91l2ss: Video unavailable
failed,W0aT3SdtnfY,cat meowing,test,ERROR: [youtube] W0aT3SdtnfY: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,UH8OQF7cCMw,thunder,train,ERROR: [youtube] UH8OQF7cCMw: Video unavailable
failed,T7aH9ZGEjKU,"bird chirping, tweeting",train,ERROR: [youtube] T7aH9ZGEjKU: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,3GTLHmApd_c,people crowd,train,ERROR: [youtube] 3GTLHmApd_c: Video unavailable
failed,hSAgDYarzOs,helicopter,test,ERROR: [youtube] hSAgDYarzOs: Video unavailable
failed,HddhwL1gVH8,people crowd,train,ERROR: [youtube] HddhwL1gVH8: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,4x2OdlSk5Ms,dog barking,train,ERROR: [youtube] 4x2OdlSk5Ms: Video unavailable
failed,LtqeWJp7JLI,helicopter,train,ERROR: [youtube] LtqeWJp7JLI: Video unavailable
failed,Vy_muRoW4mg,car engine knocking,test,ERROR: [youtube] Vy_muRoW4mg: Video unavailable
failed,pc44o8yg7D0,cat meowing,train,ERROR: [youtube] pc44o8yg7D0: Video unavailable
failed,84-3I3Tu35I,"female speech, woman speaking",train,ERROR: [youtube] 84-3I3Tu35I: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,Do-VYTebQ_E,cat meowing,train,ERROR: [youtube] Do-VYTebQ_E: This video is not available
failed,LBYg2Ee9THI,people crowd,train,ERROR: [youtube] LBYg2Ee9THI: Video unavailable
failed,wy4C47QJn4I,typing on computer keyboard,train,ERROR: [youtube] wy4C47QJn4I: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,ViVNd28bMlc,cat meowing,train,ERROR: [youtube] ViVNd28bMlc: Video unavailable
failed,2aUsiNodEM4,dog barking,train,ERROR: [youtube] 2aUsiNodEM4: Video unavailable
failed,8WkA4ra6Lv4,train horning,train,ERROR: [youtube] 8WkA4ra6Lv4: Video unavailable
failed,DovxSnOx6jQ,"female speech, woman speaking",train,ERROR: [youtube] DovxSnOx6jQ: Video unavailable
failed,7CTzN_wSb6g,raining,test,ERROR: [youtube] 7CTzN_wSb6g: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,VbjYx2xzj20,"bird chirping, tweeting",train,ERROR: [youtube] VbjYx2xzj20: This video is not available
failed,JC6VyIc02Kg,helicopter,train,ERROR: [youtube] JC6VyIc02Kg: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,YYRPRCHzNI0,car engine knocking,train,ERROR: [youtube] YYRPRCHzNI0: Video unavailable
failed,ZqZG_CV2qQU,playing acoustic guitar,test,ERROR: [youtube] ZqZG_CV2qQU: Video unavailable
failed,mx_t1glv_uE,train horning,test,ERROR: [youtube] mx_t1glv_uE: Video unavailable
failed,qDD6KIoa8c0,dog barking,train,ERROR: [youtube] qDD6KIoa8c0: Video unavailable
failed,IQecgFqv4mI,car engine knocking,test,ERROR: [youtube] IQecgFqv4mI: Video unavailable
failed,IePSz_4TRaQ,raining,train,ERROR: [youtube] IePSz_4TRaQ: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,A0hl8W3RF5c,train horning,test,ERROR: [youtube] A0hl8W3RF5c: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,AT0c2TaLH68,raining,train,ERROR: [youtube] AT0c2TaLH68: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,HOtQseh7MIM,typing on computer keyboard,train,ERROR: [youtube] HOtQseh7MIM: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,DEAF8XXAhUo,typing on computer keyboard,train,ERROR: [youtube] DEAF8XXAhUo: Video unavailable
failed,flByNqQVOHU,playing piano,train,ERROR: [youtube] flByNqQVOHU: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,BuK7qr_TY3g,train horning,test,ERROR: [youtube] BuK7qr_TY3g: This video is not available
failed,Jmd7IviDxIU,train horning,test,ERROR: [youtube] Jmd7IviDxIU: Video unavailable
failed,EaiB4-Dizms,playing piano,test,ERROR: [youtube] EaiB4-Dizms: Video unavailable
failed,XGQLOhgllLk,car engine knocking,train,ERROR: [youtube] XGQLOhgllLk: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,8w-V_hYvxXs,playing acoustic guitar,test,ERROR: [youtube] 8w-V_hYvxXs: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,dfYYRopvVx0,"female speech, woman speaking",test,ERROR: [youtube] dfYYRopvVx0: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,wnSf_M-z0O4,helicopter,train,ERROR: [youtube] wnSf_M-z0O4: Video unavailable
failed,GHW51JXB-vk,train horning,train,ERROR: [youtube] GHW51JXB-vk: Video unavailable
failed,Weg3fP0lZmE,people crowd,train,ERROR: [youtube] Weg3fP0lZmE: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,3nXSnfYU_P0,ocean burbling,train,ERROR: [youtube] 3nXSnfYU_P0: Video unavailable. This video is no longer available because the uploader has closed their YouTube account.
failed,EwqfDiips2E,"bird chirping, tweeting",train,ERROR: [youtube] EwqfDiips2E: This video is not available
failed,7j74Z3vcWgU,waterfall burbling,train,ERROR: [youtube] 7j74Z3vcWgU: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,wPLtMMe6L-A,helicopter,test,ERROR: [youtube] wPLtMMe6L-A: Video unavailable
failed,cBcngftfYg4,"female speech, woman speaking",train,ERROR: [youtube] cBcngftfYg4: Video unavailable
failed,4D6HcKGd_e4,waterfall burbling,train,ERROR: [youtube] 4D6HcKGd_e4: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,3bQzFGT0zj0,playing piano,train,ERROR: [youtube] 3bQzFGT0zj0: Video unavailable
failed,dQb7Fxn9UnY,people crowd,train,ERROR: [youtube] dQb7Fxn9UnY: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,1cCdVvoxSt0,cat meowing,train,ERROR: [youtube] 1cCdVvoxSt0: Video unavailable
failed,hsOdGHnCIng,"bird chirping, tweeting",train,ERROR: [youtube] hsOdGHnCIng: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,NtjQmKM-804,thunder,train,ERROR: [youtube] NtjQmKM-804: Video unavailable
failed,6BrUfmMAfZ8,"female speech, woman speaking",train,ERROR: [youtube] 6BrUfmMAfZ8: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,0QhsgW-yDmE,typing on computer keyboard,train,ERROR: [youtube] 0QhsgW-yDmE: Video unavailable
failed,0m1PgPJ9QPY,helicopter,train,ERROR: [youtube] 0m1PgPJ9QPY: Video unavailable
failed,mFNp6x3skHs,typing on computer keyboard,train,ERROR: [youtube] mFNp6x3skHs: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,ZuZVcUMdCVA,typing on computer keyboard,train,ERROR: [youtube] ZuZVcUMdCVA: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,XfBuWrbJ0nQ,raining,train,ERROR: [youtube] XfBuWrbJ0nQ: This video is not available
failed,vi98a4P1Pyc,train horning,train,ERROR: [youtube] vi98a4P1Pyc: Video unavailable
failed,r9Uam1Xk-p4,typing on computer keyboard,train,ERROR: [youtube] r9Uam1Xk-p4: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,TeZX4pAL4Qs,helicopter,train,ERROR: [youtube] TeZX4pAL4Qs: This video is not available
failed,EScf6Anv-8E,dog barking,test,ERROR: [youtube] EScf6Anv-8E: Video unavailable
failed,-zJOSK6_Djg,"female speech, woman speaking",train,ERROR: [youtube] -zJOSK6_Djg: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,LZ7KRkt3o2Y,"bird chirping, tweeting",train,ERROR: [youtube] LZ7KRkt3o2Y: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,WuOZfWRwXY8,playing acoustic guitar,test,ERROR: [youtube] WuOZfWRwXY8: Video unavailable
failed,s8UGk6H52oM,raining,train,ERROR: [youtube] s8UGk6H52oM: This video is not available
failed,_X0yaGw-GS0,helicopter,train,ERROR: [youtube] _X0yaGw-GS0: Video unavailable
failed,04sf3v7xOzo,cat meowing,train,ERROR: [youtube] 04sf3v7xOzo: Video unavailable
failed,ulrgCCh3sUw,thunder,train,ERROR: [youtube] ulrgCCh3sUw: Video unavailable
failed,2eYaXTKSpMI,cat meowing,test,ERROR: [youtube] 2eYaXTKSpMI: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,Ee0nZzMkNXk,train horning,test,ERROR: [youtube] Ee0nZzMkNXk: This video is not available
failed,MjTuAV036yY,thunder,test,ERROR: [youtube] MjTuAV036yY: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
failed,lrr5IQmKKyM,"female speech, woman speaking",test,ERROR: [youtube] lrr5IQmKKyM: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,_eceNIlHt4E,train horning,test,ERROR: [youtube] _eceNIlHt4E: Video unavailable
failed,vg901mF2dl8,train horning,test,ERROR: [youtube] vg901mF2dl8: Video unavailable
failed,24SJ7XGUoMY,cat meowing,train,ERROR: [youtube] 24SJ7XGUoMY: Video unavailable
failed,seFJhtrrmfQ,dog barking,train,ERROR: [youtube] seFJhtrrmfQ: Video unavailable
failed,qY7bY1p7V8s,"female speech, woman speaking",train,ERROR: [youtube] qY7bY1p7V8s: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,24SJ7XGUoMY,cat meowing,train,ERROR: [youtube] 24SJ7XGUoMY: Video unavailable
failed,LEf8YRG2l34,cat meowing,train,ERROR: [youtube] LEf8YRG2l34: Video unavailable
failed,leIanf9R2R0,typing on computer keyboard,test,"Command '['ffmpeg', '-y', '-i', 'processed_vggsound/videos/leIanf9R2R0_230.mp4', '-vn', '-ac', '1', '-ar', '16000', 'processed_vggsound/test/audio/typing_on_computer_keyboard/leIanf9R2R0_230.wav']' returned non-zero exit status 234."
failed,zoSSM7iOydc,ocean burbling,train,ERROR: [youtube] zoSSM7iOydc: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,UJsKS3-6vzk,"female speech, woman speaking",train,ERROR: [youtube] UJsKS3-6vzk: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,967NLdnoUqo,car engine knocking,train,ERROR: [youtube] 967NLdnoUqo: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
failed,gx7Ylk3LVaU,ocean burbling,test,ERROR: [youtube] gx7Ylk3LVaU: Video unavailable
failed,Y3VVwVL6VPU,people crowd,train,ERROR: [youtube] Y3VVwVL6VPU: Video unavailable
failed,clX4fPaR-w4,ocean burbling,train,ERROR: [youtube] clX4fPaR-w4: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
